mode,path_radius,time_stamp,x,z,dx,dz,distance_traveled,fvec_x,fvec_z,is_stopped,colliding,distance_from_line,distance_outside,user_speed,hdirX,hdirY,hdirZ,hupX,hupY,hupZ
2,0.750000,445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.109426,0.398389,-0.910666,0.015831,0.916749,0.399149,
2,0.750000,536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.109773,0.390077,-0.914216,0.015051,0.920321,0.390874,
2,0.750000,627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.110452,0.376055,-0.919991,0.014134,0.926155,0.376878,
2,0.750000,718,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.120767,0.351870,-0.928226,0.013048,0.935552,0.352949,
2,0.750000,809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.147165,0.311987,-0.938619,0.019304,0.949677,0.312636,
2,0.750000,899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.216823,0.216653,-0.951866,0.029840,0.976078,0.215366,
2,0.750000,990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.302683,0.076177,-0.950042,0.025014,0.997092,0.071981,
2,0.750000,1081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.378191,-0.087815,-0.921553,0.000974,0.995452,-0.095257,
2,0.750000,1172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.423003,-0.229541,-0.876573,-0.033680,0.970696,-0.237936,
2,0.750000,1263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.429671,-0.310590,-0.847889,-0.060457,0.946773,-0.316175,
2,0.750000,1354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.412180,-0.371074,-0.832113,-0.083560,0.924850,-0.371039,
2,0.750000,1445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.405088,-0.388851,-0.827465,-0.091535,0.917750,-0.386467,
2,0.750000,1536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.406829,-0.400555,-0.821003,-0.094391,0.912362,-0.398355,
2,0.750000,1627,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.392164,-0.420007,-0.818414,-0.098799,0.903767,-0.416468,
2,0.750000,1718,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.379745,-0.436036,-0.815884,-0.105089,0.896574,-0.430247,
2,0.750000,1809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.373913,-0.439046,-0.816962,-0.106079,0.895321,-0.432606,
2,0.750000,1899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.374603,-0.430786,-0.821034,-0.103233,0.899384,-0.424795,
2,0.750000,1990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.376773,-0.418224,-0.826517,-0.100745,0.905481,-0.412255,
2,0.750000,2081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.378076,-0.414618,-0.827738,-0.099294,0.907107,-0.409021,
2,0.750000,2172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.378295,-0.413103,-0.828395,-0.098664,0.907796,-0.407642,
2,0.750000,2263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.378295,-0.413103,-0.828395,-0.098664,0.907796,-0.407642,
2,0.750000,2354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.378295,-0.413103,-0.828395,-0.102357,0.908080,-0.406097,
2,0.750000,2445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1,0,0.000000,0.000000,0.000000,-0.378295,-0.413103,-0.828395,-0.106948,0.908412,-0.404166,
